Networks,&,N,&,E,&,ASP,&,Assortativity,&,Density,&,diameter,&,Clustering,&,Betweenness,&,Closeness,&,Rn,&,Re,\\ \hline
Arenas email,&,1133,&,5451,&,3.606,&,0.078,&,0.009,&,8,&,0.220,&,0.00230418392,&,0.28197348493,&,37.672,&,91.091,\\
Barabasi\\_albert\\_graph,&,500,&,1491,&,3.267,&,-0.096,&,0.012,&,5,&,0.056,&,0.00453168184,&,0.30984691908,&,24.314,&,46.227,\\
bio-celegans,&,453,&,2025,&,2.664,&,-0.226,&,0.020,&,7,&,0.646,&,0.00361983132,&,0.27442874740,&,23.547,&,56.235,\\
bn-cat-mixed-species\\_brain\\_1,&,65,&,730,&,1.700,&,-0.025,&,0.351,&,3,&,0.661,&,0.01110347985,&,0.59771234688,&,10.308,&,33.955,\\
bn-macaque-rhesus\\_brain\\_2,&,91,&,582,&,1.868,&,-0.770,&,0.142,&,3,&,0.860,&,0.00967190837,&,0.51231582470,&,11.088,&,30.393,\\
ca-sandi\\_auths,&,86,&,200,&,2.497,&,-0.264,&,0.055,&,5,&,0.414,&,0.01781642890,&,0.41143313699,&,10.605,&,16.680,\\
Circuits1,&,122,&,189,&,4.928,&,-0.002,&,0.026,&,11,&,0.059,&,0.03273156302,&,0.20761120361,&,9.615,&,14.069,\\
Circuits2,&,252,&,644,&,1.987,&,-0.243,&,0.020,&,3,&,0.561,&,0.00394953519,&,0.50446993030,&,18.730,&,30.607,\\
Circuits3,&,512,&,1324,&,1.994,&,-0.240,&,0.010,&,3,&,0.558,&,0.00194850843,&,0.50221477115,&,28.059,&,44.210,\\
Dolphins,&,62,&,159,&,3.357,&,-0.044,&,0.084,&,8,&,0.259,&,0.03928256654,&,0.30723997349,&,9.081,&,14.818,\\
E. Coli,&,1477,&,3658,&,3.579,&,-0.351,&,0.003,&,9,&,0.222,&,0.00174853301,&,0.28745590948,&,40.326,&,73.919,\\
facebook0,&,324,&,2514,&,3.753,&,0.233,&,0.048,&,11,&,0.522,&,0.00503938541,&,0.24473346682,&,18.772,&,61.472,\\
facebook348,&,224,&,3192,&,2.523,&,0.223,&,0.128,&,9,&,0.544,&,0.00454104844,&,0.34247091855,&,18.438,&,70.800,\\
facebook414,&,148,&,1692,&,2.692,&,0.304,&,0.156,&,7,&,0.679,&,0.00745494716,&,0.32076294878,&,14.081,&,49.293,\\
facebook686,&,168,&,1656,&,2.425,&,0.084,&,0.118,&,6,&,0.534,&,0.00577118684,&,0.34963971554,&,16.571,&,50.829,\\
fb-pages-food,&,620,&,2102,&,5.089,&,-0.028,&,0.011,&,17,&,0.331,&,0.00661601400,&,0.20729634441,&,25.360,&,54.150,\\
Karate,&,34,&,78,&,2.408,&,-0.476,&,0.139,&,5,&,0.571,&,0.04400623886,&,0.42647963257,&,6.059,&,10.679,\\
Polbooks,&,105,&,441,&,3.079,&,-0.128,&,0.081,&,7,&,0.488,&,0.02018208329,&,0.32959713465,&,12.295,&,25.821,\\
soc-firm-hi-tech,&,33,&,123,&,1.769,&,-0.256,&,0.233,&,2,&,0.671,&,0.02480449658,&,0.57334718765,&,6.152,&,13.724,\\
soc-tribes,&,17,&,76,&,1.449,&,-0.079,&,0.559,&,2,&,0.649,&,0.02990196078,&,0.69905313112,&,4.941,&,11.118,\\
USAir97,&,332,&,2126,&,2.738,&,-0.208,&,0.039,&,6,&,0.625,&,0.00526704456,&,0.37600596215,&,19.175,&,58.478,\\
Word adjacencies,&,112,&,425,&,2.536,&,-0.129,&,0.068,&,5,&,0.173,&,0.01395957646,&,0.40328788294,&,12.375,&,25.621,\\
