sim,dolphins,Karate,soc-tribes,soc-firm-hi-tech,polbooks,word_adjacencies,circuits s208_st,facebook414,facebook686,bn-macaque-rhesus_brain_2,bn-cat-mixed-species_brain_1,circuits s420_st,facebook348,fb-pages-food,Erdos Renyi,circuits s838_st,facebook0,facebook1684,arenas-email,E. Coli,facebook107
0,8,5,3,5,10,5,11,7,6,4,5,13,9,2,7,15,6,10,13,10,9
0.005,8,5,3,5,10,5,11.2,6.9,6,4,4.9,13,8.9,2,7,15.2,6,10,13,10,9
0.01,8.36,5,3,5,10.1,5.1,11.1,6.9,5.9,4,5,13.5,9,2,7,15.2,6,10,13,10,9
0.015,8.16,5.04,3,5,10.1,5,11.3,7,6,4,5,13,8.8,2,7,15.8,6,10,13,10,9
0.02,8.16,5.04,3,4.96,10.1,5.3,11.4,7,6,4,5,13.5,9,2,7,16.6,6,10,13,10,9
0.025,8.12,5,3,5.08,9.8,5.1,11.2,6.7,6,4,5,13.2,8.8,2,7,16,6,9.8,12,10,9
0.03,8.24,4.92,3,5.08,10.1,5.1,11.3,6.9,6.1,4,4.9,13.8,9,2,7,16.2,6,9.6,13,10,9
0.035,8.32,5.04,2.92,5,10.1,5.2,11.6,6.9,6,4,5,13.8,8.9,1.6,7,16,6,9.8,13,10,8
0.04,7.96,5,2.96,5,10.5,5.1,11.5,7,5.8,4,5,13.7,8.5,2,7,16.6,6,9.6,13,10,9
0.045,8.2,5.04,2.92,5,10.2,5,12,6.8,6,4,5,14.4,8.2,2,7,15.2,6,10,12,10,9
0.05,8.32,4.96,2.88,5.04,10.1,5.2,11.6,7,5.9,4,4.9,14,8.3,2,7,18,6,10,12,10,8
0.055,8.32,5.16,2.92,4.92,10.1,5.2,11.9,7,5.9,4,5,13.7,8.7,2,7,17,6,9.8,13,10,9
0.06,8.32,5.04,2.88,5,10.8,5.2,12.4,7,5.8,4,4.9,13.9,8.2,1.8,7,18.4,6,9.4,12,10,9
0.065,8.48,5,2.84,5.16,10.5,5.2,11.8,6.8,6,4,5,15.5,8.8,1.8,6.8,17.4,5.8,10,13,10,8
0.07,8.36,4.96,3,5,10.2,5.3,12.5,6.9,5.9,4,4.9,14.5,8.4,2,7,17.2,6.2,10,14,10,8
0.075,8.6,5.28,2.92,5.04,10.9,5.2,12.2,6.9,6,4,4.9,14.2,8.7,2,7,18.2,6,10,13,10,8
0.08,8.08,5.12,3,5.08,10.2,5.3,12.4,6.9,6,4,4.9,15.2,7.9,2,7,18,6,9.6,12,10,9
0.085,8.36,5.16,2.84,5.16,10.8,5.7,12.2,6.6,6,4,5,15,8.6,1.8,7,17.6,6.2,9.8,13,10,9
0.09,8.52,5,2.92,5.2,10.7,5.6,12.8,6.9,5.8,4,5,15.2,8.8,2,7.2,17.4,6,9.6,13,10,9
0.095,8.44,5.08,2.92,4.92,10.6,5.4,13.4,6.8,6.1,4,4.9,15,8.3,1.8,7,18.6,6.4,10,13,10,9
0.1,8.48,5.04,2.92,4.96,10.2,5.48,12.72,6.9,6.2,4,5,14.8,8.6,1.6,8,17,6,10,13,10,9
0.105,8.48,5.12,2.88,4.84,10.5,5.32,13.28,6.6,5.8,4,5,18,8.2,2,7,19,6,10,14,10,8
0.11,8.36,4.96,2.96,5.16,10.5,5.44,13.08,7,6,4,4.92,15.6,8.3,2,8,19,6,10,12,10,8
0.115,8.52,5.16,3,5.12,11,5.64,12.68,6.9,6.2,4,5,15.6,7.7,1.6,7,16,6,8,13,10,7
0.12,8.28,4.92,2.96,5.08,11.6,5.6,13.72,6.6,6,4,5,16,8.1,1.2,7,20,7,10,14,10,10
0.125,8.32,5.2,2.84,5.24,11.4,5.52,13.28,6.7,6,4,4.92,15.2,7.8,2,8,18,6,10,14,10,9
0.13,8.4,5.04,2.92,5.08,10.6,5.72,13.52,6.6,5.9,4,4.92,15.4,8.1,1.6,7,19,6,10,12,10,9
0.135,8.28,4.96,2.84,5.04,10.6,5.56,13.52,7.1,5.8,4,4.92,17.2,8.1,2,8,18,6,10,14,9,9
0.14,8.68,5.28,2.92,5.4,10.5,5.4,13.84,6.9,6,4,4.88,16,7.6,2,8,21,7,10,14,10,9
0.145,8.44,5.12,2.92,5.28,11.1,5.48,13.04,6.4,5.9,3.96,5,17,8.1,2,8,19,6,8,14,10,9
0.15,8.48,5.28,2.88,5.24,11.2,5.72,13.76,6.6,5.8,4,5,15.6,7.7,1.6,7,22,7,9,13,10,9
0.155,8.2,5.16,2.92,5.2,11.1,5.44,13.64,7.1,6.3,4,5,15.6,7.7,2,7,18,6,10,13,10,9
0.16,8.56,5.04,2.88,5.2,11.9,5.44,13.4,6.7,6.2,4,5.04,16.2,7.4,1.6,8,19,7,10,14,12,8
0.165,8.6,4.8,3,5.36,11.5,5.56,13.96,6.8,5.8,3.96,4.92,17,8,1.6,7,26,7,9,13,10,9
0.17,8.6,5.16,3,5.2,10.7,5.48,13.92,6.5,6,4,5,18.8,8,1.6,7,21,8,9,14,10,9
0.175,8.36,5.2,2.92,5.16,11,5.64,13.52,6.5,6.1,4,4.88,16.8,7.6,1.2,8,28,7,11,13,10,7
0.18,8.84,5.04,3,5.16,11.6,5.6,13.96,6.6,6,4,5,17.6,7.8,1.6,8,18,7,10,16,10,8
0.185,8.68,5.04,2.96,5.28,12.3,5.8,14.2,6.7,5.8,4,5,18.6,8,1.6,8,30,7,10,14,14,9
0.19,8.56,4.96,2.92,5.24,12.1,5.56,14.52,6.4,6.2,4,4.96,17.4,7.5,2,8,20,6,10,13,10,8
0.195,8.48,5,2.84,5.2,12.5,5.72,15.08,6.4,6,4,4.92,19.6,7.7,2,8,20,7,9,14,10,9
