,Network,Rn,d,Rn_D,Rn_B,Rn_Clo,Rn_Clu
0,Dolphins,9.064516129032258,0.1,7.158035714285714,6.896428571428571,7.008035714285715,7.983928571428572
1,Polbooks,11.961904761904762,0.1,10.482631578947368,10.197368421052632,10.403157894736841,11.372105263157895
2,Word adjacencies,12.3125,0.1,10.18960396039604,10.027227722772277,10.408910891089109,11.590594059405941
3,Karate,5.617647058823529,0.1,3.6048387096774195,3.6983870967741934,4.285483870967742,6.024193548387097
4,Circuits1,10.663934426229508,0.1,5.985454545454545,6.131363636363637,6.0227272727272725,11.456363636363637
5,bn-macaque-rhesus_brain_2,10.186813186813186,0.1,4.1658536585365855,4.1414634146341465,4.058536585365854,10.921951219512195
6,soc-tribes,4.9411764705882355,0.1,4.363333333333333,4.316666666666666,4.386666666666667,4.453333333333333
7,bn-cat-mixed-species_brain_1,10.353846153846154,0.1,9.51779661016949,9.465254237288136,9.409322033898304,9.638983050847457
8,ca-sandi_auths,8.511627906976743,0.1,1.933116883116883,2.0597402597402596,2.544805194805195,7.394805194805195
9,soc-firm-hi-tech,7.03030303030303,0.1,5.61,5.851666666666667,5.801666666666667,6.363333333333333
10,CAG_mat72,10.472222222222221,0.1,9.537692307692307,9.396153846153846,9.263076923076923,9.95076923076923
11,ENZYMES123,3.903703703703704,0.1,2.118595041322314,2.5450413223140496,3.5037190082644627,3.9239669421487604
12,ENZYMES8,2.6099290780141846,0.1,2.033464566929134,2.02755905511811,2.0858267716535432,2.3755905511811024
13,Dolphins,8.516129032258064,0.2,5.502,5.461,5.834,7.24
14,Polbooks,11.790476190476191,0.2,7.148809523809524,7.101190476190476,7.989285714285714,10.58095238095238
15,Word adjacencies,12.794642857142858,0.2,8.033888888888889,8.241111111111111,8.717222222222222,10.707222222222223
16,Karate,5.764705882352941,0.2,1.9166666666666667,1.8944444444444444,2.2333333333333334,5.603703703703704
17,Circuits1,13.319672131147541,0.2,4.7545918367346935,2.4785714285714286,2.851530612244898,10.882142857142856
18,bn-macaque-rhesus_brain_2,11.780219780219781,0.2,0.9863013698630136,0.9863013698630136,0.9863013698630136,10.51986301369863
19,soc-tribes,4.823529411764706,0.2,4.175,4.228571428571429,4.2214285714285715,4.3
20,bn-cat-mixed-species_brain_1,10.076923076923077,0.2,8.653846153846153,8.690384615384616,8.741346153846154,9.133653846153846
21,ca-sandi_auths,7.0,0.2,1.8420289855072465,1.7463768115942029,2.1297101449275364,7.0978260869565215
22,soc-firm-hi-tech,6.878787878787879,0.2,4.6692307692307695,4.5673076923076925,4.736538461538462,5.878846153846154
23,CAG_mat72,10.583333333333334,0.2,8.486206896551725,8.200862068965517,8.74396551724138,9.239655172413793
24,ENZYMES123,3.837037037037037,0.2,1.526851851851852,1.9171296296296296,2.3828703703703704,3.656018518518519
25,ENZYMES8,2.780141843971631,0.2,1.9831858407079646,1.715929203539823,2.1181415929203538,2.3933628318584073
26,Dolphins,8.5,0.3,3.8627906976744186,3.844186046511628,4.924418604651163,6.391860465116279
27,Polbooks,11.876190476190477,0.3,3.304109589041096,4.023287671232877,6.138356164383562,9.88082191780822
28,Word adjacencies,12.098214285714286,0.3,5.563461538461539,6.207051282051282,7.3775641025641026,9.781410256410256
29,Karate,5.794117647058823,0.3,1.6395833333333334,1.8875,2.0083333333333333,5.216666666666667
30,Circuits1,11.442622950819672,0.3,1.9570588235294117,1.8529411764705883,1.8911764705882352,9.99
31,bn-macaque-rhesus_brain_2,11.978021978021978,0.3,0.984375,0.984375,0.984375,9.890625
32,soc-tribes,4.705882352941177,0.3,3.6416666666666666,3.625,3.6291666666666664,3.8000000000000003
33,bn-cat-mixed-species_brain_1,10.107692307692307,0.3,7.696666666666666,7.558888888888889,7.594444444444444,8.385555555555555
34,ca-sandi_auths,8.569767441860465,0.3,1.4283333333333332,1.3383333333333334,2.0275,6.328333333333333
35,soc-firm-hi-tech,6.696969696969697,0.3,3.617391304347826,2.7282608695652173,3.8978260869565218,5.541304347826087
36,CAG_mat72,10.652777777777779,0.3,7.657,6.681,5.45,8.741
37,ENZYMES123,4.362962962962963,0.3,1.3189473684210526,1.6352631578947368,1.9394736842105262,3.29
38,ENZYMES8,2.4397163120567376,0.3,1.5803030303030303,1.7161616161616162,1.7191919191919192,2.4934343434343433
39,Dolphins,9.17741935483871,0.4,2.8864864864864863,2.0067567567567566,3.7243243243243245,5.405405405405405
40,Polbooks,11.866666666666667,0.4,2.4857142857142858,3.1031746031746033,3.962698412698413,9.107142857142858
41,Word adjacencies,12.669642857142858,0.4,3.5522388059701493,3.4567164179104477,4.965671641791045,8.788059701492537
42,Karate,6.5,0.4,1.1775,1.3575,1.7925,4.655
43,Circuits1,13.721311475409836,0.4,1.8904109589041096,1.641095890410959,1.858904109589041,9.155479452054795
44,bn-macaque-rhesus_brain_2,11.384615384615385,0.4,0.9818181818181818,0.9818181818181818,0.9818181818181818,9.068181818181818
45,soc-tribes,4.9411764705882355,0.4,2.94,2.925,2.945,3.245
46,bn-cat-mixed-species_brain_1,9.938461538461539,0.4,4.347435897435897,6.271794871794872,4.444871794871795,7.638461538461538
47,ca-sandi_auths,8.30232558139535,0.4,1.2701923076923076,1.35,2.0557692307692306,6.019230769230769
48,soc-firm-hi-tech,6.848484848484849,0.4,2.02,1.6125,2.085,5.0125
49,CAG_mat72,9.88888888888889,0.4,6.540697674418604,5.301162790697674,4.675581395348837,7.816279069767442
50,ENZYMES123,4.303703703703704,0.4,1.3271604938271606,1.3413580246913581,1.3333333333333333,2.50679012345679
51,ENZYMES8,2.6879432624113475,0.4,1.5541176470588236,1.744705882352941,1.7417647058823529,2.2823529411764705
52,Dolphins,8.903225806451612,0.5,1.8064516129032258,1.8129032258064517,3.346774193548387,4.37741935483871
53,Polbooks,12.361904761904762,0.5,2.128301886792453,2.418867924528302,3.2311320754716983,8.290566037735848
54,Word adjacencies,12.339285714285714,0.5,1.725,1.5607142857142857,2.5455357142857142,7.176785714285715
55,Karate,5.735294117647059,0.5,1.0970588235294119,1.0882352941176472,1.526470588235294,4.423529411764706
56,Circuits1,11.188524590163935,0.5,1.7459016393442623,1.6221311475409836,1.8942622950819672,8.077868852459016
