Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_CAR,Re_CAR,Rn_L2,Re_L2,Rn_L3,Re_L3
Dolphins,9.129032258064516,14.880503144654089,Degree,5.16,8.559322033898304,9.225806451612904,14.826923076923077,6.983870967741935,14.547169811320755,8.548387096774194,15.49685534591195
Dolphins,9.129032258064516,14.880503144654089,Betweenness,5.98,8.821428571428571,8.838709677419354,14.79874213836478,5.370967741935484,12.220125786163521,6.564516129032258,13.59748427672956
Dolphins,9.129032258064516,14.880503144654089,Closeness,5.92,9.511627906976743,8.64516129032258,15.318471337579618,6.790322580645161,13.144654088050315,7.854838709677419,14.440251572327044
Dolphins,9.129032258064516,14.880503144654089,Clustering,7.58,12.115384615384615,7.838709677419355,15.158227848101266,8.193548387096774,15.226415094339623,8.241935483870968,14.867924528301886
Polbooks,11.81904761904762,25.65986394557823,Degree,8.178571428571429,8.763358778625955,12.514285714285714,25.31651376146789,11.047619047619047,25.462585034013607,11.028571428571428,25.421768707482993
Polbooks,11.81904761904762,25.65986394557823,Betweenness,9.678571428571429,11.666666666666666,12.0,25.772727272727273,9.19047619047619,24.820861678004537,9.504761904761905,24.5578231292517
Polbooks,11.81904761904762,25.65986394557823,Closeness,5.940476190476191,14.640211640211641,12.18095238095238,25.597727272727273,9.323809523809524,23.79591836734694,11.314285714285715,24.8140589569161
Polbooks,11.81904761904762,25.65986394557823,Clustering,11.083333333333334,22.355685131195337,11.523809523809524,25.93877551020408,11.657142857142857,26.045351473922903,10.438095238095238,25.85260770975057
Word adjacencies,11.991071428571429,25.390588235294118,Degree,7.133333333333334,10.771929824561404,12.285714285714286,24.61298076923077,11.160714285714286,24.992941176470588,10.026785714285714,25.312941176470588
Word adjacencies,11.991071428571429,25.390588235294118,Betweenness,7.833333333333333,13.673913043478262,12.580357142857142,24.880382775119617,10.071428571428571,25.435294117647057,9.491071428571429,25.265882352941176
Word adjacencies,11.991071428571429,25.390588235294118,Closeness,8.977777777777778,12.615384615384615,12.866071428571429,25.028708133971293,11.205357142857142,25.11529411764706,11.178571428571429,25.430588235294117
Word adjacencies,11.991071428571429,25.390588235294118,Clustering,10.8,21.06418918918919,11.285714285714286,25.687058823529412,12.267857142857142,25.936470588235295,12.410714285714286,25.658823529411766
Karate,6.676470588235294,10.987179487179487,Degree,2.0,2.230769230769231,6.029411764705882,10.432432432432432,6.029411764705882,10.578947368421053,6.382352941176471,10.423076923076923
Karate,6.676470588235294,10.987179487179487,Betweenness,2.037037037037037,2.533333333333333,6.294117647058823,10.12,5.970588235294118,9.986666666666666,6.205882352941177,10.157894736842104
Karate,6.676470588235294,10.987179487179487,Closeness,2.4444444444444446,2.3,6.147058823529412,10.16,6.4411764705882355,10.538461538461538,5.764705882352941,10.194805194805195
Karate,6.676470588235294,10.987179487179487,Clustering,5.444444444444445,9.338709677419354,6.411764705882353,10.61038961038961,5.647058823529412,10.76923076923077,6.4411764705882355,10.512820512820513
Circuits1,11.188524590163935,20.713815789473685,Degree,4.86734693877551,4.32183908045977,12.237704918032787,20.6523178807947,10.795081967213115,18.9375,7.967213114754099,16.648026315789473
Circuits1,11.188524590163935,20.713815789473685,Betweenness,2.2857142857142856,2.5,12.295081967213115,19.940199335548172,11.172131147540984,20.207920792079207,11.073770491803279,19.99671052631579
Circuits1,11.188524590163935,20.713815789473685,Closeness,3.2551020408163267,2.8372093023255816,12.975409836065573,20.113333333333333,11.663934426229508,19.648026315789473,10.901639344262295,20.263157894736842
Circuits1,11.188524590163935,20.713815789473685,Clustering,10.89795918367347,18.440677966101696,13.278688524590164,21.18092105263158,10.073770491803279,21.43092105263158,13.614754098360656,21.5625
bn-macaque-rhesus_brain_2,11.010989010989011,30.49828178694158,Degree,0.9863013698630136,0,11.417582417582418,28.845437616387336,11.813186813186814,28.765249537892792,11.527472527472527,29.282809611829943
bn-macaque-rhesus_brain_2,11.010989010989011,30.49828178694158,Betweenness,0.9863013698630136,0,11.868131868131869,28.84870848708487,11.802197802197803,28.58550185873606,11.626373626373626,28.799632352941178
bn-macaque-rhesus_brain_2,11.010989010989011,30.49828178694158,Closeness,0.9863013698630136,0,11.76923076923077,29.011029411764707,11.758241758241759,29.01081081081081,11.604395604395604,28.82234432234432
bn-macaque-rhesus_brain_2,11.010989010989011,30.49828178694158,Clustering,10.013698630136986,28.286868686868686,11.175824175824175,30.400343642611684,11.67032967032967,30.369415807560138,10.637362637362637,30.326460481099655
soc-tribes,4.9411764705882355,10.881578947368421,Degree,4.285714285714286,7.804878048780488,4.411764705882353,11.052631578947368,4.705882352941177,10.828947368421053,4.882352941176471,10.855263157894736
soc-tribes,4.9411764705882355,10.881578947368421,Betweenness,4.071428571428571,7.906976744186046,4.529411764705882,10.842105263157896,4.705882352941177,10.894736842105264,4.9411764705882355,10.93421052631579
soc-tribes,4.9411764705882355,10.881578947368421,Closeness,4.357142857142857,7.414634146341464,4.882352941176471,11.013157894736842,4.588235294117647,10.868421052631579,4.9411764705882355,10.921052631578947
soc-tribes,4.9411764705882355,10.881578947368421,Clustering,4.142857142857143,9.379310344827585,4.529411764705882,10.776315789473685,4.764705882352941,11.263157894736842,4.352941176470588,11.210526315789474
bn-cat-mixed-species_brain_1,9.907692307692308,34.07534246575342,Degree,8.75,21.935064935064936,10.246153846153845,34.47671232876712,9.815384615384616,34.205479452054796,9.569230769230769,34.04657534246575
bn-cat-mixed-species_brain_1,9.907692307692308,34.07534246575342,Betweenness,8.884615384615385,21.916932907348244,9.661538461538461,33.96849315068493,10.076923076923077,34.276712328767125,10.015384615384615,34.19315068493151
bn-cat-mixed-species_brain_1,9.907692307692308,34.07534246575342,Closeness,7.884615384615385,21.717041800643088,9.676923076923076,34.11095890410959,9.353846153846154,34.03155006858711,10.23076923076923,34.02739726027397
bn-cat-mixed-species_brain_1,9.907692307692308,34.07534246575342,Clustering,9.26923076923077,30.125886524822697,9.553846153846154,34.19178082191781,9.538461538461538,34.16027397260274,9.615384615384615,34.016438356164386
ca-sandi_auths,6.732558139534884,11.733870967741936,Degree,1.826086956521739,2.4864864864864864,9.790697674418604,10.85483870967742,5.546511627906977,11.290322580645162,6.616279069767442,10.5
ca-sandi_auths,6.732558139534884,11.733870967741936,Betweenness,1.6521739130434783,2.5945945945945947,8.534883720930232,12.201612903225806,7.151162790697675,9.830645161290322,6.709302325581396,11.520325203252032
ca-sandi_auths,6.732558139534884,11.733870967741936,Closeness,2.072463768115942,2.847457627118644,8.337209302325581,11.975806451612904,2.36046511627907,4.314516129032258,2.4651162790697674,5.241935483870968
