delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.1328286945987274 	 4.6548434375247155e-06 	 0.0015353439611710776 	 0.0006389776357827514 	 0.002447958535794987 	 4.587561235356753 	 0.02482415589199522
0.0 	 0.3380191693290735 	 0.3560404470463012 	 1.113006095938418 	 8.015400741632256 	 3.120044826635983 	 2.958412098298658 	 2.798358242816127 	 0.9541773878091511 	 1.7189328001771074
0.05 	 0.3380191693290735 	 0.3560404470463012 	 1.113006095938418 	 8.015400741632256 	 3.120044826635983 	 2.958412098298658 	 2.798358242816127 	 0.9541773878091511 	 1.7189328001771074
0.1 	 0.33738019169329075 	 0.3366152208621607 	 0.9799813543527086 	 6.138307888521125 	 2.961012921537995 	 2.964015151515134 	 2.5508471196644398 	 0.8509849802074891 	 1.72525707809545
0.15 	 0.33738019169329075 	 0.3366152208621607 	 0.9799813543527086 	 6.138307888521125 	 2.961012921537995 	 2.964015151515134 	 2.5508471196644398 	 0.8509849802074891 	 1.72525707809545
0.2 	 0.3329073482428115 	 0.3275678552421501 	 0.9788296391128041 	 6.207737143931795 	 2.9594520026649973 	 3.003838771593076 	 2.54051437012274 	 0.8361995068693638 	 1.7369786467673203
0.25 	 0.3246006389776358 	 0.3150612027674295 	 0.9653019546527543 	 6.542652166511134 	 2.994155459650431 	 3.080708661417297 	 2.5805681774024904 	 0.8274757776022872 	 1.758533556884905
0.3 	 0.3246006389776358 	 0.3150612027674295 	 0.9653019546527543 	 6.542652166511134 	 2.994155459650431 	 3.080708661417297 	 2.5805681774024904 	 0.8274757776022872 	 1.758533556884905
0.35 	 0.29201277955271565 	 0.2791378392762108 	 0.8638617782671107 	 7.760023886304749 	 3.2786024592249703 	 3.424507658643305 	 2.7748485422173936 	 0.7993501657123638 	 1.85227547317044
0.4 	 0.28115015974440893 	 0.25784992017030334 	 0.8238682557376366 	 8.379489368378 	 3.2673893953408815 	 3.5568181818181537 	 2.785553713068563 	 0.773831632510937 	 1.8890114472496076
0.45 	 0.27859424920127795 	 0.2527940393826503 	 0.8072307628714162 	 8.263049538233643 	 3.262437300618675 	 3.5894495412843845 	 2.7630984245526546 	 0.7600495168179847 	 1.8982209896746143
0.5 	 0.21725239616613418 	 0.19105907397551888 	 0.8494264566168047 	 12.451553636701572 	 4.057328240559766 	 4.6029411764705666 	 3.296311915589266 	 0.7068880371273256 	 2.1459117029760426
0.55 	 0.21661341853035143 	 0.189196381053752 	 0.8461179132816093 	 12.478945726005984 	 4.0415459151527 	 4.616519174041276 	 3.2750719854216817 	 0.7005069405885478 	 2.1506137563250665
0.6 	 0.19361022364217254 	 0.15114422565194252 	 0.7431421853559784 	 11.449984800441468 	 4.042900742675165 	 5.16501650165013 	 3.016192972100781 	 0.5775650341352017 	 2.285289775363432
0.65 	 0.19297124600638976 	 0.1498137307078233 	 0.7181768124070808 	 11.320275503962355 	 4.033938484349198 	 5.182119205297987 	 2.9951955724989987 	 0.5711167607725752 	 2.289529183511454
0.7 	 0.13035143769968052 	 0.08967535923363491 	 0.3635589841784345 	 20.134155087597247 	 5.300270206263856 	 7.671568627450952 	 3.56826752179425 	 0.4538594116390773 	 2.781646990226362
0.75 	 0.1073482428115016 	 0.0620010643959553 	 0.2270772945554353 	 11.947054498438252 	 5.409093430261048 	 9.315476190476124 	 2.8494704139736338 	 0.2923061194011377 	 3.0799614761300296
0.8 	 0.08690095846645367 	 0.038584353379457155 	 0.009533631818837271 	 9.255999269525388 	 5.143865925531705 	 11.507352941176405 	 2.233764702071372 	 0.18010124504241667 	 3.432527372798535
0.85 	 0.07476038338658147 	 0.023948908994145823 	 0.0 	 0.27528542988855287 	 4.319097155070068 	 13.376068376068321 	 1.344422076543569 	 0.08383874675091393 	 3.715266454683221
0.9 	 0.07348242811501597 	 0.02261841405002661 	 0.0 	 0.14501528700696475 	 4.222897584568126 	 13.608695652173834 	 1.2879342170345733 	 0.07866261542977054 	 3.7488192640567473
0.95 	 0.07348242811501597 	 0.02261841405002661 	 0.0 	 0.14501528700696475 	 4.222897584568126 	 13.608695652173834 	 1.2879342170345733 	 0.07866261542977054 	 3.7488192640567473
