AC7.2	ZK792.6
AH6.5	F53G12.5
AH6.5	F59B2.6
B0001.2	F15B10.2
B0207.4	B0207.4
B0207.4	M03D4.1
B0207.4	Y39G10AR.13
B0272.1	F15B10.2
B0280.12	C06E1.4
B0281.5	Y108G3AL.1
B0336.1	F52F12.3
B0336.1	W06F12.1
B0464.7	W01G7.5
B0478.1	F42G10.2
B0478.1	R03D7.6
B0495.2	R03D7.6
B0513.1	F28D1.10
C01B10.1	F15B10.2
C01F6.4	C15F1.3
C02F4.1	Y106G6E.5
C02F4.1	Y41D4B.13
C02F5.1	C34B2.2
C02F5.1	F26F4.13
C02F5.1	F26H11.1
C02F5.1	R12B2.4
C02F5.1	R13F6.1
C02F5.1	T03F1.9
C02F5.1	T10B5.6
C02F5.1	W01B6.9
C02F5.1	Y47G6A.24
C03B8.4	F28D1.10
C04H5.6	M04B2.1
C05B10.1	R03D7.6
C05B5.7	C26C6.2
C05C8.4	F28D1.10
C05E4.9	F28D1.10
C07A12.4	Y47D3B.10
C07A9.3	C07A9.3
C07A9.3	F10G7.3
C07H6.7	F31E3.2
C08C3.2	Y108G3AL.1
C09G12.8	F55C7.7
C09G4.5	F54C1.3
C09G4.5	R06A4.7
C09H6.2	F17E5.1
C09H6.2	Y54G11A.10
C09H6.2	ZK1067.1
C10E2.3	W10D5.1
C12C8.1	F15B10.2
C12C8.1	F30H5.1
C12C8.3	F15B10.2
C12D8.11	F15B10.2
C14B1.1	H26D21.1
C14B1.3	F46A9.4
C14F5.5	C14F5.5
C14F5.5	F45E10.1
C15F1.3	Y47D3A.6
C15H9.6	F15B10.2
C16A11.3	R03D7.6
C16A3.9	F15B10.2
C16C8.13	R03D7.6
C17F4.8	Y108G3AL.1
C18E3.6	R03D7.6
C25A1.4	F15B10.2
C25G4.5	M106.1
C25G4.5	Y39A1B.3
C26C6.2	C38C10.4
C26C6.2	F13D12.7
C26C6.2	F16H9.1
C26C6.2	F22B7.13
C26C6.2	Y69A2AR.2
C26E6.7	F15B10.2
C27A2.3	Y47G6A.12
C27A2.3	ZK177.6
C28A5.3	R03D7.6
C29F9.7	C47E8.7
C29F9.7	F14D12.2
C29F9.7	T21D12.4
C30G12.7	Y56A3A.20
C31C9.3	F46A9.4
C32A3.1	F02A9.6
C32A3.1	K08B4.1
C32A3.1	R107.8
C32A3.2	F15B10.2
C32F10.2	C53A5.3
C32F10.2	K07A1.12
C32F10.2	T23G7.1
C32F10.2	Y102A5C.18
C34B2.2	R13F6.1
C34B2.2	T10B5.6
C34B2.2	Y47G6A.24
C34C6.2	F15B10.2
C34E10.6	F15B10.2
C35B1.1	F25B5.4
C35B1.1	Y38F1A.2
C35C5.4	Y106G6E.5
C35D10.9	C35D10.9
C35D10.9	C48D1.2
C35D10.9	F35D6.1
C35D10.9	T07C4.8
C35D10.9	Y48C3A.7
C36A4.8	K04C2.4
C37A5.9	C54D1.6
C37A5.9	T05C12.6
C37F5.1	K10G6.1
C38C10.4	F22B7.13
C38C10.4	T09A5.10
C38C10.4	Y95B8A.5
C38C10.5	F36A4.7
C40A11.4	F15B10.2
C41D11.8	Y56A3A.32
C41G7.1	T01C3.7
C42D4.3	F15B10.2
C44H4.5	F52F12.3
C45G7.4	M7.1
C46H11.9	F15B10.2
C47E8.5	F11C3.3
C47E8.5	F30H5.1
C48D1.2	F35D6.1
C48D1.2	T07C4.8
C48D1.2	Y106G6E.5
C48D1.2	Y48C3A.7
C50B6.3	F15B10.2
C50C3.8	Y108G3AL.1
C50F4.11	Y69A2AR.30
C52B11.2	Y108G3AL.1
C52B9.1	C52B9.1
C52D10.7	D2045.6
C52D10.9	D2045.6
C52E4.4	R03D7.6
C53A5.3	K07A1.12
C53A5.3	M04B2.1
C53A5.3	W02D3.9
C53A5.3	W10C8.2
C54D1.6	K04G2.8
C54D1.6	K10B2.1
C54D1.6	W10C8.2
C55B7.4	F15B10.2
D1014.8	Y40B1B.6
D1022.7	R07E4.6
D2005.5	F15B10.2
D2005.5	T07A9.5
D2023.2	F15B10.2
D2045.6	F44G3.6
D2045.6	F46A9.4
D2045.6	F46A9.5
D2045.6	Y105C5B.13
D2045.6	Y47D7A.1
D2045.6	Y60A3A.18
