AC3.10	AC3.3
AC3.3	C03A7.14
AC3.3	C05D2.1
AC3.3	C37C3.6
AC3.3	Y39B6A.1
AC3.3	ZK1067.7
AC7.2	W07G4.5
AC7.2	ZK792.6
AC8.1	ZC302.1
B0024.11	F10G7.4
B0205.3	B0336.10
B0205.3	F23F12.6
B0205.3	ZK20.3
B0205.7	T01G9.6
B0207.4	F18C5.2
B0207.6	C34E10.2
B0250.1	C07H6.5
B0336.10	T28A8.7
B0336.2	F25E2.5
B0336.2	W02G9.2
B0350.2	T21B10.2
B0393.1	C34E10.6
B0414.8	F25H2.13
B0432.8	F39B2.2
B0495.5	F46F2.2
B0511.5	C07H6.5
B0547.1	C35A5.9
B0547.1	F55C5.8
B0547.1	Y48G8AL.6
B0547.1	Y67H2A.6
B0547.1	ZK418.4
C01B10.6	C14C11.6
C01B10.6	C18A11.7
C01B10.6	F08B6.4
C01B10.6	R05F9.10
C01B10.8	Y113G7B.23
C01F6.5	T20G5.11
C01G5.6	ZK20.3
C01G6.1	C34E10.6
C02C6.1	C49G7.1
C02F12.4	W06D4.6
C02F5.9	C06A8.1
C02F5.9	Y79H2A.1
C03A7.14	T23F1.6
C04F12.3	Y41C4A.14
C04G6.10	C05D2.1
C05C10.4	W03D2.4
C05C10.5	C27A2.6
C05C10.5	F54D10.7
C05C8.6	C05C8.6
C05C8.7	C49G7.1
C05D11.11	W03D2.4
C05D2.1	C34E10.6
C05D2.1	C47E8.5
C05D2.1	C53B4.5
C05D2.1	F30H5.3
C05D2.1	F45D3.4
C05D2.1	R05D11.8
C05D2.1	T21B6.3
C05D2.1	T22H2.5
C05D2.1	T23F1.6
C05D2.1	ZK1067.7
C05D2.1	ZK1193.1
C05D9.1	Y38A8.2
C06A5.3	C07H6.5
C06A8.5	F43C1.2
C06C3.1	F43C1.2
C06G3.6	Y41C4A.14
C07A12.4	H26D21.1
C07A12.4	Y41C4A.14
C07G1.5	C34G6.7
C07H6.1	C27D9.1
C07H6.5	C09F5.2
C07H6.5	C27A2.6
C07H6.5	F07C4.5
C07H6.5	F14F9.4
C07H6.5	F46A9.4
C07H6.5	R05D11.8
C07H6.5	T26H5.4
C07H6.5	W03C9.7
C07H6.5	W05H7.4
C07H6.5	ZK1025.9
C07H6.7	F53F1.4
C07H6.7	K10D6.4
C07H6.7	R05D8.8
C08B11.2	K08F11.2
C10G11.5	Y41C4A.14
C11E4.6	C14F5.5
C13F10.7	C13F10.7
C14B1.1	R06C1.1
C14C11.6	C34C6.6
C14C11.6	F13G3.4
C14C11.6	F18C5.2
C14C11.6	F30H5.3
C14C11.6	F32G8.6
C14C11.6	F37C12.9
C14C11.6	F43D9.4
C14C11.6	T01C1.2
C14C11.6	ZC410.2
C14C11.8	T23F1.6
C14F5.5	D1037.3
C14F5.5	F43D9.4
C14F5.5	F46F6.1
C14F5.5	F49B2.5
C14F5.5	F54D5.5
C14F5.5	M02A10.3
C14F5.5	R08E3.3
C14F5.5	T20F5.6
C14F5.5	T28F12.3
C14F5.5	W04D2.1
C15H11.7	T05E7.5
C15H11.7	W04D2.1
C15H11.7	ZK945.2
C15H11.9	F56C9.1
C16A3.5	C56C10.8
C16C8.11	C16C8.11
C17E4.2	ZK20.3
C17G10.5	Y113G7B.23
C18D11.4	C23G10.8
C18D11.4	C56C10.8
C18E3.3	ZK675.2
C23G10.3	T23F1.6
C23G10.3	Y37D8A.9
C23G10.4	Y62E10A.14
C23G10.8	K11D9.2
C23G10.8	T26A5.9
C24G6.3	T03F1.3
C25A1.5	F25E2.5
C25F9.7	T20G5.11
