G2 Nodes 	 G2 Edeges 	 G2P Nodes 	 G2P Edges 	 NewG2P Nodes 	 NewG2P Edges 	 time of betweenness of g2 	 time of betweenness of intrinsic(g2) 	 time of betweenness of incremental intrinsic(g2) 
1565 	 3644 	 1024 	 2678 	 806 	 2047 	 7.409420013427734 	 3.20233154296875 	 1.890225887298584 
1565 	 3651 	 1170 	 3031 	 1022 	 2578 	 7.58336067199707 	 4.032638311386108 	 3.1242716312408447 
1565 	 3657 	 1272 	 3262 	 1168 	 2937 	 7.632523059844971 	 4.827001094818115 	 4.168619394302368 
1565 	 3662 	 1347 	 3411 	 1268 	 3167 	 8.152252674102783 	 5.276638031005859 	 5.052644729614258 
1565 	 3667 	 1384 	 3475 	 1345 	 3326 	 7.487456560134888 	 5.522941827774048 	 5.672905206680298 
1565 	 3670 	 1428 	 3551 	 1383 	 3399 	 8.454186201095581 	 6.219656467437744 	 5.8107006549835205 
1565 	 3678 	 1461 	 3602 	 1427 	 3477 	 8.442853927612305 	 7.1453697681427 	 7.5944013595581055 
1565 	 3681 	 1476 	 3626 	 1461 	 3541 	 7.5619611740112305 	 6.935912847518921 	 6.671203851699829 
1565 	 3686 	 1488 	 3646 	 1476 	 3567 	 8.305983066558838 	 7.4378156661987305 	 8.403767824172974 
1565 	 3688 	 1512 	 3678 	 1488 	 3591 	 8.189377307891846 	 7.70313024520874 	 7.4068663120269775 
1565 	 3691 	 1520 	 3689 	 1512 	 3625 	 8.25002646446228 	 7.609004735946655 	 7.687971115112305 
1565 	 3693 	 1529 	 3701 	 1520 	 3639 	 7.849311351776123 	 7.523864984512329 	 7.8153977394104 
1565 	 3696 	 1538 	 3713 	 1529 	 3652 	 8.096312284469604 	 7.908308744430542 	 7.923651456832886 
1565 	 3698 	 1548 	 3725 	 1538 	 3667 	 8.453510999679565 	 8.157749652862549 	 7.982516527175903 
1565 	 3699 	 1545 	 3721 	 1548 	 3681 	 8.345279455184937 	 8.149411678314209 	 7.476746320724487 
1565 	 3701 	 1545 	 3721 	 1545 	 3678 	 8.344173908233643 	 8.33063793182373 	 7.9336161613464355 
1565 	 3702 	 1549 	 3726 	 1545 	 3680 	 8.237218856811523 	 8.250165224075317 	 8.252368211746216 
1565 	 3704 	 1553 	 3730 	 1549 	 3686 	 7.97133207321167 	 8.484736204147339 	 8.36667251586914 
1565 	 3707 	 1556 	 3733 	 1553 	 3692 	 7.587918758392334 	 8.22016429901123 	 8.388056755065918 
1565 	 3708 	 1554 	 3731 	 1556 	 3698 	 8.905666589736938 	 8.500437259674072 	 8.65426230430603 
1565 	 3710 	 1558 	 3734 	 1554 	 3697 	 8.356138467788696 	 7.706030607223511 	 7.437764644622803 
1565 	 3714 	 1557 	 3734 	 1558 	 3702 	 7.623208522796631 	 7.431872367858887 	 7.3637003898620605 
1565 	 3716 	 1562 	 3739 	 1557 	 3706 	 7.488494157791138 	 7.547496795654297 	 7.672442674636841 
1565 	 3716 	 1563 	 3740 	 1562 	 3713 	 7.615580081939697 	 7.766215562820435 	 7.782815217971802 
