Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_HD,Re_HD,Rn_HB,Re_HB,Rn_HClo,Re_HClo,Rn_HClu,Re_HClu
bn-cat-mixed-species_brain_1,10,34.01917808,Betweenness,8.423076923,21.84025559,9.861538462,34.47671233,9.292307692,34.20136986,9.538461538,34.14520548,9.630769231,33.93561644
bn-cat-mixed-species_brain_1,10,34.01917808,Closeness,8.653846154,21.8488746,9.153846154,34.30547945,9.676923077,34.20410959,9.753846154,34.05890411,9.707692308,34.19315068
bn-cat-mixed-species_brain_1,10,34.01917808,Clustering,9.038461538,30.19858156,9.907692308,34.55616438,9.476923077,34.15205479,9.507692308,34.12054795,10.10769231,34.01369863
bn-cat-mixed-species_brain_1,10,34.01917808,Degree,8.788461538,21.72402597,9.6,34.33561644,9.538461538,34.11643836,9.523076923,34.04246575,9.523076923,34.19863014
bn-macaque-rhesus_brain_2,12.06593407,30.54295533,Betweenness,0.9863013699,0,9.351648352,30.43642612,10.15384615,30.81786942,11.15384615,30.36941581,11.58241758,30.40721649
bn-macaque-rhesus_brain_2,12.06593407,30.54295533,Closeness,0.9863013699,0,11.86813187,30.47766323,11.32967033,30.47079038,11.36263736,30.39347079,11.30769231,30.49312715
bn-macaque-rhesus_brain_2,12.06593407,30.54295533,Clustering,10.26027397,28.15151515,11.23076923,30.41752577,11.01098901,30.67869416,11.50549451,30.43986254,11.25274725,30.49140893
bn-macaque-rhesus_brain_2,12.06593407,30.54295533,Degree,0.9863013699,0,12.03296703,30.74226804,11.32967033,30.65292096,11.7032967,30.22164948,11.03296703,30.78350515
ca-sandi_auths,7.930232558,11.99193548,Betweenness,1.695652174,2.378378378,5.347826087,12.09677419,8.524390244,12.98387097,5.260869565,11.87903226,4.068493151,11.84677419
ca-sandi_auths,7.930232558,11.99193548,Closeness,1.884057971,2.525423729,6.947368421,12.56451613,5.4,11.75,5.571428571,10.73387097,6.767123288,11.28225806
ca-sandi_auths,7.930232558,11.99193548,Clustering,6.101449275,9.395604396,8.372093023,12.41129032,8.720930233,12.50806452,6.88372093,12.11290323,7.720930233,11.97580645
ca-sandi_auths,7.930232558,11.99193548,Degree,1.855072464,2.081081081,4.916666667,11.32258065,4.547945205,11.72580645,5.414285714,11.7016129,6.580246914,12.12096774
CAG_mat72,10.47222222,34.588,Betweenness,9.068965517,24.58457711,9.444444444,34.224,9.805555556,34.42133333,9.916666667,34.576,9.402777778,34.30133333
CAG_mat72,10.47222222,34.588,Closeness,9.24137931,21.59726027,9.402777778,34.37333333,9.416666667,34.752,9.583333333,34.44933333,9.736111111,34.30133333
CAG_mat72,10.47222222,34.588,Clustering,8.844827586,30.17443869,9.638888889,34.43333333,10.26388889,34.53466667,10.31944444,34.616,9.638888889,34.42
CAG_mat72,10.47222222,34.588,Degree,8.396551724,22.66763006,10.18055556,34.34266667,10.08333333,34.71733333,9.416666667,33.94666667,10.27777778,34.336
Circuits1,11.63114754,20.83552632,Betweenness,2.397959184,2.627906977,10.46153846,21.625,7.974576271,19.64802632,7.376068376,20.07894737,10.01639344,21.83552632
Circuits1,11.63114754,20.83552632,Closeness,3.428571429,4.197674419,12.025,21.28618421,7.091666667,18.95394737,7.741666667,18.96710526,9.770491803,21.73026316
Circuits1,11.63114754,20.83552632,Clustering,10.42857143,18.70762712,13.13934426,21.35197368,10.80327869,21.64802632,13.14754098,21.43092105,12.12295082,20.91118421
Circuits1,11.63114754,20.83552632,Degree,4.632653061,4.402298851,11.71428571,21.17105263,5.974789916,18.37171053,7.201680672,18.82894737,11.99180328,21.46710526
Dolphins,8.532258065,15.08176101,Betweenness,5.36,9.083333333,7.086206897,15,6.016949153,13.98742138,6.224137931,13.49056604,8.086206897,15.3081761
Dolphins,8.532258065,15.08176101,Closeness,6.96,9.034883721,7.950819672,15.47169811,6.081967213,15.55345912,7.868852459,15.20754717,7.885245902,15.23899371
Dolphins,8.532258065,15.08176101,Clustering,6.52,12.19230769,8.180327869,15.57861635,8.096774194,15.44025157,7.852459016,14.93710692,7.918032787,14.96855346
Dolphins,8.532258065,15.08176101,Degree,6.24,6.93220339,7.125,15.11949686,6.964912281,15.32075472,7.052631579,14.91823899,6.684210526,15.06289308
ENZYMES123,5.051851852,5.118110236,Betweenness,1.703703704,1.75,4.669291339,8.984251969,4.212598425,7.566929134,4.389312977,7.251968504,5.940298507,8.007874016
ENZYMES123,5.051851852,5.118110236,Closeness,2.305555556,2.333333333,5.067669173,8.346456693,3.759398496,6.322834646,2.977777778,5.818897638,6.111940299,7.149606299
ENZYMES123,5.051851852,5.118110236,Clustering,3.777777778,4.366666667,5.383458647,8,4.345864662,5.787401575,4.447761194,6.047244094,5.059259259,7.535433071
ENZYMES123,5.051851852,5.118110236,Degree,1.564814815,1.68,5.587719298,9.31496063,5.00862069,9.551181102,5.875,10.39370079,6.723880597,9.062992126
ENZYMES8,2.666666667,3.488721805,Betweenness,1.610619469,1.8125,5.412698413,10.30075188,4.048,8.691729323,6.346153846,9.157894737,4.642335766,8.308270677
ENZYMES8,2.666666667,3.488721805,Closeness,2.247787611,2.146666667,7.977443609,10.5037594,4.492647059,7.661654135,4.992592593,8.255639098,2.832116788,5.842105263
ENZYMES8,2.666666667,3.488721805,Clustering,2.592920354,2.875,3.879432624,6.203007519,4.957446809,6.022556391,4.531914894,6.45112782,3.326241135,4.248120301
