Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_CAR,Re_CAR,Rn_L2,Re_L2,Rn_L3,Re_L3
bn-cat-mixed-species_brain_1,9.907692308,34.07534247,Betweenness,8.884615385,21.91693291,9.661538462,33.96849315,10.07692308,34.27671233,10.01538462,34.19315068
bn-cat-mixed-species_brain_1,9.907692308,34.07534247,Closeness,7.884615385,21.7170418,9.676923077,34.1109589,9.353846154,34.03155007,10.23076923,34.02739726
bn-cat-mixed-species_brain_1,9.907692308,34.07534247,Clustering,9.269230769,30.12588652,9.553846154,34.19178082,9.538461538,34.16027397,9.615384615,34.01643836
bn-cat-mixed-species_brain_1,9.907692308,34.07534247,Degree,8.75,21.93506494,10.24615385,34.47671233,9.815384615,34.20547945,9.569230769,34.04657534
bn-macaque-rhesus_brain_2,11.01098901,30.49828179,Betweenness,0.9863013699,0,11.86813187,28.84870849,11.8021978,28.58550186,11.62637363,28.79963235
bn-macaque-rhesus_brain_2,11.01098901,30.49828179,Closeness,0.9863013699,0,11.76923077,29.01102941,11.75824176,29.01081081,11.6043956,28.82234432
bn-macaque-rhesus_brain_2,11.01098901,30.49828179,Clustering,10.01369863,28.28686869,11.17582418,30.40034364,11.67032967,30.36941581,10.63736264,30.32646048
bn-macaque-rhesus_brain_2,11.01098901,30.49828179,Degree,0.9863013699,0,11.41758242,28.84543762,11.81318681,28.76524954,11.52747253,29.28280961
ca-sandi_auths,6.73255814,11.73387097,Betweenness,1.652173913,2.594594595,8.534883721,12.2016129,7.151162791,9.830645161,6.709302326,11.5203252
ca-sandi_auths,6.73255814,11.73387097,Closeness,2.072463768,2.847457627,8.337209302,11.97580645,2.360465116,4.314516129,2.465116279,5.241935484
ca-sandi_auths,6.73255814,11.73387097,Clustering,6.942028986,8.956043956,8.488372093,11.85483871,7.034883721,11.75806452,6.290697674,11.55645161
ca-sandi_auths,6.73255814,11.73387097,Degree,1.826086957,2.486486486,9.790697674,10.85483871,5.546511628,11.29032258,6.61627907,10.5
CAG_mat72,10.43055556,34.436,Betweenness,8.24137931,24.60447761,9.541666667,33.93733333,9.694444444,34.412,9.486111111,34.38133333
CAG_mat72,10.43055556,34.436,Closeness,8.379310345,23.31780822,9.916666667,34.46266667,10.80555556,34.51333333,10.47222222,34.37066667
CAG_mat72,10.43055556,34.436,Clustering,9.586206897,30.32297064,9.791666667,34.32,10.44444444,34.41466667,10.18055556,34.324
CAG_mat72,10.43055556,34.436,Degree,8.172413793,21.65028902,10.5,34.43866667,9.875,34.248,9.513888889,34.38533333
Circuits1,11.18852459,20.71381579,Betweenness,2.285714286,2.5,12.29508197,19.94019934,11.17213115,20.20792079,11.07377049,19.99671053
Circuits1,11.18852459,20.71381579,Closeness,3.255102041,2.837209302,12.97540984,20.11333333,11.66393443,19.64802632,10.90163934,20.26315789
Circuits1,11.18852459,20.71381579,Clustering,10.89795918,18.44067797,13.27868852,21.18092105,10.07377049,21.43092105,13.6147541,21.5625
Circuits1,11.18852459,20.71381579,Degree,4.867346939,4.32183908,12.23770492,20.65231788,10.79508197,18.9375,7.967213115,16.64802632
Dolphins,9.129032258,14.88050314,Betweenness,5.98,8.821428571,8.838709677,14.79874214,5.370967742,12.22012579,6.564516129,13.59748428
Dolphins,9.129032258,14.88050314,Closeness,5.92,9.511627907,8.64516129,15.31847134,6.790322581,13.14465409,7.85483871,14.44025157
Dolphins,9.129032258,14.88050314,Clustering,7.58,12.11538462,7.838709677,15.15822785,8.193548387,15.22641509,8.241935484,14.86792453
Dolphins,9.129032258,14.88050314,Degree,5.16,8.559322034,9.225806452,14.82692308,6.983870968,14.54716981,8.548387097,15.49685535
