Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_PA,Re_PA,Rn_BPA,Re_BPA,Rn_CPA,Re_CPA,Rn_CcPA,Re_CcPA
bn-cat-mixed-species_brain_1,10.38461538,34.32191781,Betweenness,9.211538462,22.4313099,10.13846154,34.20684932,10.18461538,34.06575342,10.23076923,33.94383562,10.07692308,34.09178082
bn-cat-mixed-species_brain_1,10.38461538,34.32191781,Closeness,8.346153846,22.45016077,10.21538462,34.1739726,10.2,34.00547945,10.32307692,33.85890411,10.30769231,34.06164384
bn-cat-mixed-species_brain_1,10.38461538,34.32191781,Clustering,8.961538462,29.90602837,9.984615385,34.20958904,10.13846154,33.97671233,10.06153846,34.0739726,10.06153846,34.04657534
bn-cat-mixed-species_brain_1,10.38461538,34.32191781,Degree,8.75,22.03896104,10.35384615,34.22876712,10.26153846,33.9369863,10.18461538,34.22328767,10.16923077,34.10821918
bn-macaque-rhesus_brain_2,11.46153846,30.51718213,Betweenness,0.9863013699,0,11.8021978,29.84020619,11.6043956,29.7233677,11.61538462,29.9862543,1.417582418,1.5
bn-macaque-rhesus_brain_2,11.46153846,30.51718213,Closeness,0.9863013699,0,11.71428571,29.98797251,11.9010989,29.98969072,11.8021978,29.9467354,1.21978022,1.055555556
bn-macaque-rhesus_brain_2,11.46153846,30.51718213,Clustering,11.02739726,28.08686869,11.52747253,30.68556701,11.52747253,30.66323024,11.18681319,30.13917526,11.63736264,30.12199313
bn-macaque-rhesus_brain_2,11.46153846,30.51718213,Degree,0.9863013699,0,11.67032967,29.84020619,11.6043956,30.13230241,11.9010989,30.09450172,1.373626374,1.333333333
ca-sandi_auths,8.244186047,10.09677419,Betweenness,1.985507246,1.918918919,9.069767442,11.31451613,8.313953488,11.17741935,9.093023256,11.69354839,8.848837209,11.53225806
ca-sandi_auths,8.244186047,10.09677419,Closeness,2.202898551,2.966101695,8.430232558,11.50806452,7.872093023,11.66129032,8.511627907,11.96774194,8.88372093,11.16935484
ca-sandi_auths,8.244186047,10.09677419,Clustering,8.304347826,9.516483516,8.76744186,11.81451613,8.209302326,11.05645161,7.5,12.4516129,8.558139535,11.76612903
