Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_HD,Re_HD,Rn_HB,Re_HB,Rn_HClo,Re_HClo,Rn_HClu,Re_HClu
Dolphins,8.209677419354838,14.635220125786164,Degree,5.78,8.152542372881356,9.0,14.836477987421384,9.096774193548388,15.616352201257861,9.016129032258064,15.018867924528301,8.741935483870968,14.955974842767295
Dolphins,8.209677419354838,14.635220125786164,Betweenness,5.8,9.083333333333334,8.887096774193548,14.949685534591195,9.209677419354838,15.29559748427673,8.580645161290322,14.90566037735849,8.612903225806452,15.169811320754716
Dolphins,8.209677419354838,14.635220125786164,Closeness,5.98,8.883720930232558,8.03225806451613,14.735849056603774,8.758064516129032,14.823899371069182,9.46774193548387,14.9937106918239,9.306451612903226,15.10062893081761
Dolphins,8.209677419354838,14.635220125786164,Clustering,7.62,11.721153846153847,8.370967741935484,15.10691823899371,8.838709677419354,14.962264150943396,8.693548387096774,15.10062893081761,9.435483870967742,14.91194968553459
Polbooks,11.58095238095238,25.224489795918366,Degree,6.130952380952381,9.969465648854962,12.714285714285714,25.498866213151928,12.695238095238095,25.514739229024944,12.619047619047619,25.81859410430839,12.133333333333333,25.34467120181406
Polbooks,11.58095238095238,25.224489795918366,Betweenness,7.5,11.256830601092895,12.133333333333333,25.453514739229025,12.657142857142857,25.45124716553288,12.733333333333333,25.73015873015873,12.495238095238095,25.71201814058957
Polbooks,11.58095238095238,25.224489795918366,Closeness,6.726190476190476,15.931216931216932,12.457142857142857,25.614512471655328,11.60952380952381,25.49433106575964,12.238095238095237,25.453514739229025,12.285714285714286,25.430839002267575
Polbooks,11.58095238095238,25.224489795918366,Clustering,10.452380952380953,22.909620991253643,11.885714285714286,25.85260770975057,12.076190476190476,25.467120181405896,12.133333333333333,25.3718820861678,12.314285714285715,25.94557823129252
Word adjacencies,12.357142857142858,25.498823529411766,Degree,8.777777777777779,11.5,12.75,24.974117647058822,12.821428571428571,25.11529411764706,12.446428571428571,25.188235294117646,12.491071428571429,24.764705882352942
Word adjacencies,12.357142857142858,25.498823529411766,Betweenness,9.033333333333333,13.253623188405797,12.544642857142858,25.28235294117647,11.839285714285714,24.981176470588235,12.5,25.03764705882353,12.910714285714286,24.997647058823528
Word adjacencies,12.357142857142858,25.498823529411766,Closeness,8.411111111111111,12.73076923076923,12.919642857142858,25.105882352941176,12.455357142857142,24.95764705882353,12.732142857142858,25.214117647058824,12.785714285714286,25.15529411764706
Word adjacencies,12.357142857142858,25.498823529411766,Clustering,10.722222222222221,21.304054054054053,12.696428571428571,25.19058823529412,12.508928571428571,25.55764705882353,13.017857142857142,25.24,12.133928571428571,25.192941176470587
Karate,5.147058823529412,10.243589743589743,Degree,2.0,2.3846153846153846,6.470588235294118,10.628205128205128,6.205882352941177,10.5,6.529411764705882,10.179487179487179,6.529411764705882,10.538461538461538
Karate,5.147058823529412,10.243589743589743,Betweenness,1.9259259259259258,2.2,6.235294117647059,10.64102564102564,6.4411764705882355,10.076923076923077,6.705882352941177,10.461538461538462,6.676470588235294,10.551282051282051
Karate,5.147058823529412,10.243589743589743,Closeness,2.111111111111111,2.35,6.588235294117647,10.705128205128204,6.764705882352941,10.73076923076923,6.4411764705882355,10.102564102564102,6.882352941176471,10.397435897435898
Karate,5.147058823529412,10.243589743589743,Clustering,6.037037037037037,9.516129032258064,6.088235294117647,10.487179487179487,6.176470588235294,10.23076923076923,6.294117647058823,10.73076923076923,6.235294117647059,10.346153846153847
Circuits1,11.12295081967213,21.67105263157895,Degree,5.285714285714286,4.896551724137931,11.475409836065573,20.25986842105263,12.163934426229508,19.980263157894736,12.59016393442623,20.42105263157895,6.016393442622951,5.873873873873874
Circuits1,11.12295081967213,21.67105263157895,Betweenness,2.510204081632653,2.104651162790698,12.221311475409836,19.638157894736842,12.237704918032787,19.94078947368421,12.491803278688524,20.480263157894736,11.729508196721312,20.51644736842105
Circuits1,11.12295081967213,21.67105263157895,Closeness,3.2755102040816326,2.8488372093023258,12.48360655737705,20.407894736842106,12.245901639344263,20.74013157894737,12.868852459016393,20.200657894736842,2.959016393442623,2.909090909090909
Circuits1,11.12295081967213,21.67105263157895,Clustering,12.76530612244898,19.059322033898304,11.221311475409836,20.93092105263158,11.795081967213115,21.648026315789473,11.336065573770492,20.769736842105264,12.024590163934427,21.01644736842105
bn-macaque-rhesus_brain_2,11.461538461538462,30.517182130584192,Degree,0.9863013698630136,0,11.67032967032967,29.84020618556701,11.604395604395604,30.132302405498283,11.901098901098901,30.09450171821306,1.3736263736263736,1.3333333333333333
bn-macaque-rhesus_brain_2,11.461538461538462,30.517182130584192,Betweenness,0.9863013698630136,0,11.802197802197803,29.84020618556701,11.604395604395604,29.7233676975945,11.615384615384615,29.986254295532646,1.4175824175824177,1.5
bn-macaque-rhesus_brain_2,11.461538461538462,30.517182130584192,Closeness,0.9863013698630136,0,11.714285714285714,29.987972508591064,11.901098901098901,29.989690721649485,11.802197802197803,29.946735395189002,1.2197802197802199,1.0555555555555556
bn-macaque-rhesus_brain_2,11.461538461538462,30.517182130584192,Clustering,11.027397260273972,28.086868686868687,11.527472527472527,30.685567010309278,11.527472527472527,30.66323024054983,11.186813186813186,30.13917525773196,11.637362637362637,30.121993127147768
soc-tribes,4.764705882352941,10.986842105263158,Degree,4.285714285714286,7.439024390243903,4.9411764705882355,10.947368421052632,4.882352941176471,10.671052631578947,4.823529411764706,10.710526315789474,4.9411764705882355,11.171052631578947
soc-tribes,4.764705882352941,10.986842105263158,Betweenness,4.357142857142857,7.790697674418604,4.882352941176471,11.157894736842104,4.705882352941177,11.078947368421053,4.647058823529412,10.868421052631579,4.9411764705882355,11.0
soc-tribes,4.764705882352941,10.986842105263158,Closeness,4.214285714285714,7.7560975609756095,4.9411764705882355,10.802631578947368,4.470588235294118,10.973684210526315,4.588235294117647,10.973684210526315,4.823529411764706,10.842105263157896
soc-tribes,4.764705882352941,10.986842105263158,Clustering,4.357142857142857,9.620689655172415,4.764705882352941,10.921052631578947,4.882352941176471,10.894736842105264,4.9411764705882355,10.68421052631579,4.705882352941177,11.078947368421053
bn-cat-mixed-species_brain_1,10.384615384615385,34.321917808219176,Degree,8.75,22.038961038961038,10.353846153846154,34.228767123287675,10.261538461538462,33.93698630136986,10.184615384615384,34.223287671232875,10.169230769230769,34.108219178082194
bn-cat-mixed-species_brain_1,10.384615384615385,34.321917808219176,Betweenness,9.211538461538462,22.431309904153355,10.138461538461538,34.206849315068496,10.184615384615384,34.06575342465754,10.23076923076923,33.943835616438356,10.076923076923077,34.09178082191781
bn-cat-mixed-species_brain_1,10.384615384615385,34.321917808219176,Closeness,8.346153846153847,22.45016077170418,10.215384615384615,34.173972602739724,10.2,34.00547945205479,10.323076923076924,33.85890410958904,10.307692307692308,34.06164383561644
bn-cat-mixed-species_brain_1,10.384615384615385,34.321917808219176,Clustering,8.961538461538462,29.906028368794328,9.984615384615385,34.20958904109589,10.138461538461538,33.97671232876712,10.061538461538461,34.07397260273972,10.061538461538461,34.04657534246575
ca-sandi_auths,8.244186046511627,10.096774193548388,Degree,1.7971014492753623,2.054054054054054,8.895348837209303,11.935483870967742,8.569767441860465,11.524193548387096,8.709302325581396,11.919354838709678,8.523255813953488,10.830645161290322
ca-sandi_auths,8.244186046511627,10.096774193548388,Betweenness,1.9855072463768115,1.9189189189189189,9.069767441860465,11.314516129032258,8.313953488372093,11.17741935483871,9.093023255813954,11.693548387096774,8.848837209302326,11.53225806451613
ca-sandi_auths,8.244186046511627,10.096774193548388,Closeness,2.2028985507246377,2.9661016949152543,8.430232558139535,11.508064516129032,7.872093023255814,11.661290322580646,8.511627906976743,11.96774193548387,8.883720930232558,11.169354838709678
ca-sandi_auths,8.244186046511627,10.096774193548388,Clustering,8.304347826086957,9.516483516483516,8.767441860465116,11.814516129032258,8.209302325581396,11.056451612903226,7.5,12.451612903225806,8.55813953488372,11.766129032258064
