,Network,Rn,d,Rn_D av,Rn_D std,Rn_B av,Rn_B std,Rn_Clo av,Rn_Clo std,Rn_Clu av,Rn_Clu std
0,Dolphins,8.451612903225806,0.4,2.9254054054054053,0.3872277445658335,2.055135135135135,0.20803949218227133,3.6262162162162164,0.3603000563793204,5.522702702702703,0.44935526157967737
1,Polbooks,11.895238095238096,0.4,2.5434920634920637,0.20716922448851383,3.1019047619047617,0.24115061651744027,4.00015873015873,0.30880039453433666,9.122857142857143,0.32301237678133443
2,Word adjacencies,12.026785714285714,0.4,3.62955223880597,0.4947748289478608,3.5088059701492536,0.489864762004015,5.0646268656716416,0.620302105265096,8.809253731343283,0.43561897310918674
3,Karate,5.0588235294117645,0.4,1.2,0.07945521577046602,1.3765,0.11665692600029534,1.838,0.15326744302332798,4.665,0.3056290086184407
4,Circuits1,13.901639344262295,0.4,1.8293150684931507,0.11114196523300339,1.644931506849315,0.08151280830948086,1.8727397260273972,0.12435610100587798,9.382739726027397,1.003259310649554
5,bn-macaque-rhesus_brain_2,12.076923076923077,0.4,0.9818181818181818,0.0,0.9818181818181818,0.0,0.9818181818181818,0.0,9.034545454545455,0.34263992817143624
6,soc-tribes,4.9411764705882355,0.4,2.896,0.22870739101977164,2.895,0.25,2.871,0.2471228378149154,3.27,0.05222329678670921
7,bn-cat-mixed-species_brain_1,10.338461538461539,0.4,4.418974358974359,0.29371743461724664,6.423076923076923,0.4360193013370763,4.464102564102564,0.30247892777830326,7.6297435897435895,0.12192981796060448
8,ca-sandi_auths,9.488372093023257,0.4,1.2855769230769232,0.0686811799310398,1.3353846153846154,0.07259173162508752,2.045769230769231,0.11982457342461077,5.7975,0.671175886788193
9,soc-firm-hi-tech,6.121212121212121,0.4,2.063,0.25461597147330123,1.68,0.17056057308448835,2.0555,0.26071918791967524,4.9695,0.16374638557195328
10,CAG_mat72,10.25,0.4,6.492093023255814,0.4158776310642889,5.294651162790697,0.7084212999791859,4.713720930232558,0.28393486544891505,7.9658139534883725,0.23134414166213138
11,ENZYMES123,4.192592592592592,0.4,1.3332098765432099,0.06064633348990904,1.3377777777777777,0.045708156781070604,1.3628395061728396,0.07378033374463668,2.590493827160494,0.31553131543985075
12,ENZYMES8,2.624113475177305,0.4,1.5921176470588234,0.11553729190541961,1.7309411764705882,0.09742631952140217,1.7197647058823529,0.1063419088920369,2.3274117647058823,0.16148324241218268
