,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.15693497881746177,0.1728400798103679,2.5355534105534105,49.06726190476193,5,0.4173109243697479,0.06837194337194337,0.4032878829427023,0.013959576459576458,0.008928571428571426
1,0.08588351431391905,0.06893510431522125,2.9167289021657954,38.699691358024694,6,0.3794705358279241,0.05036344755970924,0.3237819958936536,0.016761692039420836,0.009259259259259259
2,0.0901386748844376,0.06633019758019756,3.1645189003436425,32.75251831501829,7,0.3860245358090185,0.043315907393577296,0.2812085454418607,0.018447334124090258,0.009615384615384614
3,0.08480565371024736,0.06386507936507935,3.5222066386161757,28.668309523809526,8,0.3816489361702128,0.03797979797979798,0.2525253239281186,0.022242836528550823,0.010000000000000002
4,0.03917910447761194,0.02388392857142857,3.828396322778345,25.314963624338617,9,0.3678042763157895,0.03333333333333333,0.23039188189612325,0.02583986562150056,0.010416666666666666
5,0.0345821325648415,0.014285714285714285,4.0681751395827215,21.66059351276741,9,0.3611500701262272,0.029622551361681796,0.20462098313534058,0.02771407336624729,0.010869565217391304
6,0.0,0.0,4.368752313957794,17.02478354978355,8,0.34394689468946893,0.02638453500522466,0.1653240823900661,0.02764209861242741,0.011363636363636366
7,0.0,0.0,5.030288461538461,12.631562220847927,12,0.37301587301587297,0.02323580034423408,0.12318894306262702,0.029329863006031093,0.01190476190476191
8,0.0,0.0,5.55827067669173,9.654739357864349,12,0.4048507462686567,0.02120253164556962,0.09460620673848472,0.0295196364816618,0.0125
9,0.0,0.0,4.689655172413793,4.491083770031138,11,0.44427244582043346,0.017894736842105262,0.044644975429148304,0.008904694167852062,0.013157894736842103
10,0.0,0.0,4.158333333333333,2.573070987654321,9,0.4868233618233619,0.015258215962441314,0.02739369997329525,0.003459646769505924,0.013888888888888892
11,0.0,0.0,3.0555555555555554,1.298319327731092,7,0.520483193277311,0.012291483757682178,0.015771006396941588,0.0007050309947588262,0.014705882352941175
12,0.0,0.0,2.3333333333333335,0.8135416666666667,5,0.575,0.00992063492063492,0.011475118245951575,0.00020801331285202256,0.015625
13,0.0,0.0,1.3333333333333333,0.4666666666666667,2,0.6282051282051281,0.007344632768361582,0.0077212806026365375,1.948178453146308e-05,0.016666666666666666
14,0.0,0.0,1.0,0.2857142857142857,1,0.7142857142857143,0.005194805194805195,0.005194805194805196,0.0,0.017857142857142873
15,0.0,0.0,1.0,0.19230769230769232,1,0.8076923076923076,0.003770739064856712,0.0037707390648567115,0.0,0.01923076923076924
16,0.0,0.0,1.0,0.08333333333333333,1,0.9166666666666667,0.0017730496453900709,0.0017730496453900709,0.0,0.020833333333333308
17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.02272727272727271
18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.025000000000000015
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.027777777777777783
20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.03125
21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0357142857142857
22,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.04166666666666664
