delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.07869058215338356 	 0.0005554121255524062 	 0.04027627627627628 	 0.0010000000000000015 	 0.1875501504701766 	 209.07118095238027 	 0.023985789033264874
0.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.05 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.1 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.15 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.2 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.25 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.3 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.35 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.4 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.45 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.5 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.55 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.6 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.65 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.7 	 0.994 	 0.9545431951486231 	 0.9191623280667305 	 1.0106423554961559 	 0.9661074725832076 	 1.006036217303821 	 0.9933787232239495 	 0.9872343966583123 	 1.0060203340625082
0.75 	 0.986 	 0.8984740033800577 	 0.8242477508756408 	 1.024885382343256 	 0.9241827507713857 	 1.0141987829614585 	 0.9848171001875505 	 0.970537594917932 	 1.0141376977903156
0.8 	 0.972 	 0.8180733671339099 	 0.7128434507584688 	 1.0495252214522177 	 0.8659089879835984 	 1.0288065843621377 	 0.9707616270007096 	 0.9428771730017512 	 1.0285799268766997
0.85 	 0.953 	 0.729868774232031 	 0.6124881086061296 	 1.083345878719791 	 0.8036749334893336 	 1.0493179433368292 	 0.9519554164810999 	 0.9066680727083334 	 1.048677487029315
0.9 	 0.013 	 0.00014912019087384433 	 0.0 	 2.098443861559508 	 0.9549427607882722 	 76.9230769230768 	 0.2278592825860637 	 0.002575493839029793 	 11.549095135640764
0.95 	 0.013 	 0.00014912019087384433 	 0.0 	 2.098443861559508 	 0.9549427607882722 	 76.9230769230768 	 0.2278592825860637 	 0.002575493839029793 	 11.549095135640764
