delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.037854207170745405 	 4.700471125422779e-06 	 0.000857269783008788 	 0.0007209805335255883 	 0.002787998213594066 	 4.194800357057028 	 0.02567492301744288
0.0 	 0.6243691420331651 	 0.6553398058252428 	 1.3952351150572062 	 1.4285669248635504 	 1.6817918362305486 	 1.6016166281755209 	 0.7795145387768243 	 0.5276163083443318 	 1.3068611774929881
0.05 	 0.6243691420331651 	 0.6553398058252428 	 1.3952351150572062 	 1.4285669248635504 	 1.6817918362305486 	 1.6016166281755209 	 0.7795145387768243 	 0.5276163083443318 	 1.3068611774929881
0.1 	 0.6243691420331651 	 0.6553398058252428 	 1.3952351150572062 	 1.4285669248635504 	 1.6817918362305486 	 1.6016166281755209 	 0.7795145387768243 	 0.5276163083443318 	 1.3068611774929881
0.15 	 0.6236481614996395 	 0.6492718446601942 	 1.3788149314910256 	 1.4332031233069549 	 1.6700766796210038 	 1.603468208092485 	 0.7765669532888098 	 0.5253325134846326 	 1.3083644559776983
0.2 	 0.6236481614996395 	 0.6492718446601942 	 1.3788149314910256 	 1.4332031233069549 	 1.6700766796210038 	 1.603468208092485 	 0.7765669532888098 	 0.5253325134846326 	 1.3083644559776983
0.25 	 0.619322278298486 	 0.6328883495145631 	 1.3472119684574464 	 1.4210418316721325 	 1.6507691373073055 	 1.6146682188591617 	 0.7676766020173141 	 0.5156068867807612 	 1.3140582692294756
0.3 	 0.619322278298486 	 0.6328883495145631 	 1.3472119684574464 	 1.4210418316721325 	 1.6507691373073055 	 1.6146682188591617 	 0.7676766020173141 	 0.5156068867807612 	 1.3140582692294756
0.35 	 0.5969718817591925 	 0.5819174757281553 	 1.065604883410722 	 1.4330709512559086 	 1.6336734264836568 	 1.6751207729468882 	 0.7604747835444876 	 0.49158347774405853 	 1.3401942571659984
0.4 	 0.5955299206921413 	 0.5752427184466019 	 1.0575858733216423 	 1.4219226350791412 	 1.6227694586144479 	 1.6791767554479482 	 0.7518808391244114 	 0.4852458887955062 	 1.3421534352917517
0.45 	 0.5948089401586157 	 0.570995145631068 	 1.0533785191466567 	 1.420261195890277 	 1.6146966608539919 	 1.681212121212147 	 0.7486242335418138 	 0.482511048382177 	 1.3433356613000007
0.5 	 0.4816149963950973 	 0.41140776699029125 	 0.6454102722148481 	 1.832495575519011 	 1.7750471005268253 	 2.0763473053892354 	 0.7967821987910778 	 0.4175863238376891 	 1.4963228473665486
0.55 	 0.4816149963950973 	 0.41140776699029125 	 0.6454102722148481 	 1.832495575519011 	 1.7750471005268253 	 2.0763473053892354 	 0.7967821987910778 	 0.4175863238376891 	 1.4963228473665486
0.6 	 0.4657534246575342 	 0.370752427184466 	 0.5018043329750619 	 1.6268887921539896 	 1.7105330176776063 	 2.147058823529433 	 0.7453344584622019 	 0.37429493111563134 	 1.5231047027722135
0.65 	 0.4657534246575342 	 0.370752427184466 	 0.5018043329750619 	 1.6268887921539896 	 1.7105330176776063 	 2.147058823529433 	 0.7453344584622019 	 0.37429493111563134 	 1.5231047027722135
0.7 	 0.3756308579668349 	 0.21480582524271843 	 0.10418606305747405 	 0.9350582387343693 	 1.5242095524204473 	 2.6621880998080796 	 0.5858957158075078 	 0.22791217313852238 	 1.7001763391478948
0.75 	 0.334534967555876 	 0.13592233009708737 	 0.0 	 0.13718216028603608 	 1.2162743016715343 	 2.9892241379310627 	 0.4039282671403239 	 0.12917093025804036 	 1.805990540280323
0.8 	 0.334534967555876 	 0.13592233009708737 	 0.0 	 0.13718216028603608 	 1.2162743016715343 	 2.9892241379310627 	 0.4039282671403239 	 0.12917093025804036 	 1.805990540280323
0.85 	 0.334534967555876 	 0.13592233009708737 	 0.0 	 0.13718216028603608 	 1.2162743016715343 	 2.9892241379310627 	 0.4039282671403239 	 0.12917093025804036 	 1.805990540280323
0.9 	 0.334534967555876 	 0.13592233009708737 	 0.0 	 0.13718216028603608 	 1.2162743016715343 	 2.9892241379310627 	 0.4039282671403239 	 0.12917093025804036 	 1.805990540280323
0.95 	 0.334534967555876 	 0.13592233009708737 	 0.0 	 0.13718216028603608 	 1.2162743016715343 	 2.9892241379310627 	 0.4039282671403239 	 0.12917093025804036 	 1.805990540280323
