delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.006406914711311346 	 0.0004976850598093081 	 0.006006006006006006 	 0.0009999999999999985 	 0.047381330955752525 	 55.2383639971139 	 0.029293306137861384
0.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.05 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.1 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.15 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.2 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.25 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.3 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.35 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.4 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.45 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.5 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.55 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.6 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.65 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.7 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.75 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.8 	 0.997 	 0.995 	 1.0041450468061273 	 0.9987184176642783 	 1.0009999879155538 	 1.0030090270812462 	 0.9967146442684109 	 0.9938762354429924 	 1.0017992545287517
0.85 	 0.981 	 0.9681666666666666 	 0.9874935290383248 	 1.01357400535902 	 1.006052237408725 	 1.0193679918450589 	 0.9919025315098875 	 0.9742136806268066 	 1.0118727681447761
0.9 	 0.059 	 0.004166666666666667 	 0.0 	 0.041205057712449464 	 1.2163939216832262 	 16.94915254237291 	 0.16241217236202682 	 0.008284588563629038 	 4.439171889614394
0.95 	 0.059 	 0.004166666666666667 	 0.0 	 0.041205057712449464 	 1.2163939216832262 	 16.94915254237291 	 0.16241217236202682 	 0.008284588563629038 	 4.439171889614394
