delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.23513930298471764 	 0.0007662408800526807 	 0.002494086915926941 	 0.0008210180623973673 	 0.030048917316890456 	 43.35351305005039 	 0.026304323809653123
0.0 	 0.9655172413793104 	 0.9748444684879632 	 0.9550711961394347 	 1.0798848721311096 	 1.045750329068258 	 1.0357142857142863 	 1.0445070508842174 	 1.0101469067644786 	 1.0173184006514142
0.05 	 0.9655172413793104 	 0.9748444684879632 	 0.9550711961394347 	 1.0798848721311096 	 1.045750329068258 	 1.0357142857142863 	 1.0445070508842174 	 1.0101469067644786 	 1.0173184006514142
0.1 	 0.9655172413793104 	 0.9748444684879632 	 0.9550711961394347 	 1.0798848721311096 	 1.045750329068258 	 1.0357142857142863 	 1.0445070508842174 	 1.0101469067644786 	 1.0173184006514142
0.15 	 0.964696223316913 	 0.9729510413849067 	 0.9543211128015896 	 1.080191591157516 	 1.0454972390090944 	 1.036595744680855 	 1.0445469209504912 	 1.0093598375295791 	 1.0176814584172766
0.2 	 0.9630541871921182 	 0.9694346767649445 	 0.9514754393527602 	 1.0809747379708197 	 1.0452755528811934 	 1.0383631713555124 	 1.0440225122384992 	 1.0072126698448554 	 1.0186902552919688
0.25 	 0.9548440065681445 	 0.9569921558020016 	 0.9385945476926718 	 1.0868183090352146 	 1.0496884093294256 	 1.0472914875322534 	 1.0465535122920455 	 1.0015124869180756 	 1.0229667899995325
0.3 	 0.9548440065681445 	 0.9569921558020016 	 0.9385945476926718 	 1.0868183090352146 	 1.0496884093294256 	 1.0472914875322534 	 1.0465535122920455 	 1.0015124869180756 	 1.0229667899995325
0.35 	 0.9441707717569786 	 0.9450906140113605 	 0.9301550175076289 	 1.0982120817304624 	 1.0602137871818396 	 1.0591304347826176 	 1.0505282390456603 	 0.9948210358695865 	 1.028488716414827
0.4 	 0.9359605911330049 	 0.931025155531512 	 0.9191301552147327 	 1.103840817650692 	 1.062846891082739 	 1.0684210526315958 	 1.0500126456936787 	 0.9864104147799401 	 1.0335145301140192
0.45 	 0.9277504105090312 	 0.9112794157424939 	 0.9119912351114747 	 1.0963919717987287 	 1.0588075794473872 	 1.0778761061947006 	 1.0333654172940123 	 0.9632773031819448 	 1.04038892476254
0.5 	 0.8448275862068966 	 0.8282391127941574 	 0.8557386292699849 	 1.2124972294886984 	 1.1606068056795122 	 1.183673469387763 	 1.0847359044580966 	 0.9228436784992144 	 1.0920798634059354
0.55 	 0.8423645320197044 	 0.8203949147957804 	 0.8515717767465696 	 1.2163554340728324 	 1.156350786451076 	 1.1871345029239768 	 1.0758041222476895 	 0.9130402256408434 	 1.0949142384101929
0.6 	 0.7816091954022989 	 0.7170678928861239 	 0.7982219923945146 	 1.2336384465540242 	 1.174034011116625 	 1.2794117647058905 	 1.0428620827267738 	 0.8233643061756108 	 1.1419981878814336
0.65 	 0.7561576354679803 	 0.6513389234514472 	 0.7626352030196606 	 1.224867940289219 	 1.1394556888372995 	 1.322475570032585 	 0.9890098803322354 	 0.7564570253995095 	 1.1732767807669426
0.7 	 0.5919540229885057 	 0.45604544225047333 	 0.6216126672318203 	 1.4078208632866855 	 1.3022016014033944 	 1.6893203883495203 	 0.9653621988681119 	 0.5839105882900574 	 1.33691721179291
0.75 	 0.22413793103448276 	 0.026237489856640518 	 0.0 	 0.0025941425122508566 	 0.5237555031167499 	 4.461538461538481 	 0.0470724463018809 	 0.009279983881708396 	 2.298281583879668
0.8 	 0.22413793103448276 	 0.026237489856640518 	 0.0 	 0.0025941425122508566 	 0.5237555031167499 	 4.461538461538481 	 0.0470724463018809 	 0.009279983881708396 	 2.298281583879668
0.85 	 0.22413793103448276 	 0.026237489856640518 	 0.0 	 0.0025941425122508566 	 0.5237555031167499 	 4.461538461538481 	 0.0470724463018809 	 0.009279983881708396 	 2.298281583879668
0.9 	 0.22413793103448276 	 0.026237489856640518 	 0.0 	 0.0025941425122508566 	 0.5237555031167499 	 4.461538461538481 	 0.0470724463018809 	 0.009279983881708396 	 2.298281583879668
0.95 	 0.22413793103448276 	 0.026237489856640518 	 0.0 	 0.0025941425122508566 	 0.5237555031167499 	 4.461538461538481 	 0.0470724463018809 	 0.009279983881708396 	 2.298281583879668
