G2 Nodes 	 G2 Edeges 	 G2P Nodes 	 G2P Edges 	 NewG2P Nodes 	 NewG2P Edges 	 time of betweenness of g2 	 time of betweenness of intrinsic(g2) 	 time of betweenness of incremental intrinsic(g2) 
1387 	 1646 	 1100 	 1339 	 972 	 1178 	 4.678797006607056 	 2.6352314949035645 	 1.9776465892791748 
1387 	 1646 	 1156 	 1396 	 1100 	 1339 	 4.856313705444336 	 3.5899741649627686 	 3.000802516937256 
1387 	 1646 	 1224 	 1472 	 1156 	 1396 	 4.920239210128784 	 3.43064546585083 	 3.199901819229126 
1387 	 1646 	 1257 	 1512 	 1224 	 1472 	 5.10845947265625 	 4.121623754501343 	 3.7447075843811035 
1387 	 1645 	 1284 	 1538 	 1257 	 1512 	 5.135136604309082 	 3.787262439727783 	 4.034965515136719 
1387 	 1643 	 1308 	 1561 	 1284 	 1538 	 4.863596200942993 	 3.7856552600860596 	 3.9594194889068604 
1387 	 1643 	 1318 	 1571 	 1308 	 1561 	 4.706915855407715 	 4.468366384506226 	 3.910020351409912 
1387 	 1642 	 1331 	 1584 	 1318 	 1571 	 4.461227893829346 	 4.016880989074707 	 3.9702372550964355 
1387 	 1642 	 1333 	 1587 	 1331 	 1584 	 4.355146884918213 	 3.940852642059326 	 4.202312707901001 
1387 	 1642 	 1340 	 1595 	 1333 	 1587 	 4.321038722991943 	 3.9762542247772217 	 4.027368783950806 
1387 	 1642 	 1342 	 1597 	 1340 	 1595 	 4.399292230606079 	 3.9835011959075928 	 4.044442176818848 
1387 	 1640 	 1342 	 1595 	 1342 	 1597 	 4.355479717254639 	 4.0947465896606445 	 3.9449546337127686 
1387 	 1640 	 1342 	 1595 	 1342 	 1595 	 4.375364303588867 	 4.136791467666626 	 4.238142490386963 
1387 	 1640 	 1347 	 1600 	 1342 	 1595 	 4.747600555419922 	 4.022226810455322 	 3.916106939315796 
1387 	 1640 	 1346 	 1599 	 1347 	 1600 	 4.107874393463135 	 3.806431770324707 	 3.860664129257202 
1387 	 1640 	 1350 	 1603 	 1346 	 1599 	 4.066471338272095 	 3.773983955383301 	 3.6984975337982178 
1387 	 1640 	 1351 	 1604 	 1350 	 1603 	 4.040247678756714 	 3.68525767326355 	 3.67647647857666 
1387 	 1639 	 1360 	 1613 	 1351 	 1604 	 4.1183741092681885 	 3.824758768081665 	 3.6711602210998535 
1387 	 1639 	 1361 	 1614 	 1360 	 1612 	 4.097796678543091 	 3.706937074661255 	 3.826803207397461 
