,Unnamed: 0,CN,AA,RA,PA,JA,SA,SO,HPI,HDI,LLHN,CAR,CH2_L2,DAGI,DALI,inDAGI,inDALI,PALI,PAGI,CN_DAGI_0.2_0.8,CN_DALI_0.2_0.8,CN_inDAGI_0.2_0.8,CN_inDALI_0.2_0.8,CN_PALI_0.2_0.8,CN_PAGI_0.2_0.8,CN_DAGI_0.4_0.6,CN_DALI_0.4_0.6,CN_inDAGI_0.4_0.6,CN_inDALI_0.4_0.6,CN_PALI_0.4_0.6,CN_PAGI_0.4_0.6,CN_DAGI_0.6_0.4,CN_DALI_0.6_0.4,CN_inDAGI_0.6_0.4,CN_inDALI_0.6_0.4,CN_PALI_0.6_0.4,CN_PAGI_0.6_0.4,CN_DAGI_0.8_0.2,CN_DALI_0.8_0.2,CN_inDAGI_0.8_0.2,CN_inDALI_0.8_0.2,CN_PALI_0.8_0.2,CN_PAGI_0.8_0.2
0,0,0.5397035484613598,0.5401262803481612,0.5401746462969025,0.6494577443545639,0.535076209173124,0.535116492596148,0.535076209173124,0.5367035532276094,0.5353125405023547,0.5375417814897355,0.4996427896893502,0.5401529541186454,0.7318827673718171,0.6816198225680311,0.3058330540100497,0.3214880018853675,0.654530311653578,0.650123612396866,0.7321670196084085,0.6837655106252625,0.3132683459982539,0.3246604578321569,0.6496594342369818,0.6476407983158025,0.7293992354820753,0.6813502136284763,0.3270667247957705,0.3325581621708969,0.6440858364805415,0.6448499868870712,0.7248381068663224,0.6770324077984803,0.3559845805507958,0.3472436520015291,0.6402024197502818,0.6400008160049054,0.7172234057770737,0.6700204650125406,0.3755501070367589,0.3764075007905945,0.6381039204355594,0.6361936736247978
1,1,0.5348902950248495,0.5353213999083531,0.5352827143716493,0.6375580783532608,0.5320525134760833,0.5326128738894303,0.5320525134760833,0.5345052482963937,0.5318740243188715,0.5323698536121066,0.4995886382704886,0.5352628193472417,0.7473991570087437,0.6857054042535038,0.2768125216329052,0.3118920886144544,0.6403033984318964,0.6362364329670909,0.750466594238285,0.6937436154022558,0.2798650065297375,0.313522831715016,0.6477223786717607,0.6395297429234255,0.7457670194616415,0.693219082600524,0.2943703431871,0.318456783961711,0.6462655548095496,0.6416185686158129,0.7425747585571041,0.6898520740735525,0.3191052706351511,0.3293746100554506,0.6431039855353095,0.6412822860970779,0.7356707432828061,0.6856237670020655,0.3398509488518388,0.3527855312226935,0.6392333609047169,0.6367222526193161
2,2,0.5479090598540844,0.5485010294468572,0.5484162959314899,0.6587064283754869,0.5429417493168892,0.5431898548465439,0.5429417493168892,0.5451950584277654,0.5429772396457605,0.544632995617328,0.5013926473245037,0.5484108970824222,0.7367819836201193,0.6919515464093875,0.299424772522336,0.310756146888021,0.6480751142439085,0.6591181616543845,0.7391124536501704,0.6939272978481948,0.3103888688689462,0.3162349983743781,0.6501639005331961,0.6596504171349696,0.7374926852698882,0.692027187126325,0.3281570494505591,0.3283170400804303,0.6486207673946797,0.6587637840430821,0.734407001500255,0.6866621661103105,0.3624942409908696,0.3483689196101713,0.6448835988250512,0.6569061821538714,0.7278314448632878,0.6805554995148708,0.3883975778376223,0.3811145588603268,0.6421872999406752,0.6526325100618918
3,3,0.5469643340091807,0.5474599891721427,0.5475353747124174,0.6378949090176299,0.5429016142197657,0.5432164965450881,0.5429016142197657,0.5448792118914115,0.5430561151013328,0.54485740480663,0.4996308585985607,0.5475173791031284,0.733269405814384,0.6842490938625388,0.2848455843321349,0.3188891525461935,0.6427907765124465,0.6375743094790688,0.7375469430850333,0.6880626112168131,0.2906081949663368,0.3225765508989066,0.6489003403157568,0.6386960131040706,0.7372803303743397,0.6877815829613105,0.306761132816254,0.3303028473192068,0.6490443051900698,0.6378459315575523,0.7333825385744461,0.683340179469313,0.3368673243349479,0.3460447583745059,0.6463538799268698,0.636437496076222,0.7271216864189124,0.6789096114576438,0.3649443135263112,0.3769146198453401,0.6441165302004166,0.6328349030532151
4,4,0.5525047590854532,0.5526160322062375,0.5525929592302219,0.6459010829693419,0.5473733235366006,0.5475306715719283,0.5473733235366006,0.5501595985029389,0.5473796458730089,0.5488069452840286,0.4995196018854599,0.5525655103449619,0.7590770707299807,0.7008511939100073,0.2767850683519866,0.2990274598534479,0.6416572608297076,0.6464562267284742,0.7588799274940253,0.7004527304338181,0.2807185987452052,0.3028783310259409,0.6377386198939177,0.6454558342037321,0.7544007439500355,0.6969500281961996,0.2952550566899042,0.3121675765242812,0.635341687190344,0.6431681855712861,0.7473748238483415,0.6912401059697462,0.3356785696891678,0.3313654575839991,0.6330107483128738,0.6398029266649325,0.7420390276547804,0.6873780250816889,0.364371179284241,0.3677824988976402,0.6314494721999906,0.6363629079064895
5,5,0.552782038203141,0.5537463463084513,0.5536905822532241,0.6813139331303517,0.5472459335660816,0.5472375116612318,0.5472459335660816,0.5492078232040599,0.5473681340248131,0.5497701717392076,0.4997759911373948,0.5536771762374713,0.7623625072259255,0.7061089322308645,0.2780052290364637,0.2909329358194243,0.6887494810518877,0.6805894698300445,0.7649320165892196,0.7109929605301216,0.2883600300813873,0.2956762768884844,0.6854707506554244,0.6799509651848119,0.7605212579233211,0.7119738915427093,0.3073859277149287,0.306942217586953,0.6811773464013684,0.6781350920479685,0.7587203647319894,0.7089479425493549,0.3411636062707018,0.3264784550415938,0.678386893196578,0.6741358055627924,0.7519169843174466,0.7002986600749384,0.3726888946967817,0.3598106010244074,0.6738331140186471,0.6703717111253501
6,6,0.548512822764326,0.5499294976112856,0.5497969009323049,0.6615599549193382,0.543083924834085,0.5429736116869532,0.543083924834085,0.5444097397534757,0.543297882636476,0.5460013693188903,0.5014130575697945,0.5498383063300832,0.7219961101844714,0.6720845747013986,0.3166109647402456,0.3284390330714397,0.6680007240076891,0.661049836000661,0.7257599146874846,0.6773587166784227,0.3241971957265873,0.3330318705589121,0.6649916464368371,0.659656839132091,0.7199215050855189,0.677164212095595,0.3437129030623564,0.3430375353254037,0.6604358101050984,0.6576374182195072,0.7198748394488098,0.6736779024541846,0.3726027565584894,0.3604268221377915,0.6565926740196799,0.6538102975597048,0.7139733898180828,0.6678748924653912,0.3983627955035864,0.3920703071661988,0.6538427149901761,0.6490398131055057
7,7,0.5438154835311317,0.5449976807171629,0.5450224961451009,0.6667601385656471,0.5388879127276656,0.5389306829276553,0.5388879127276656,0.5403984957521923,0.5390780509050866,0.5420556708466393,0.5014876324970975,0.5450133349915067,0.7556622463170393,0.7091022281831278,0.273427519974718,0.2908561178347051,0.6809366630238036,0.6667728525588967,0.7553056419474877,0.7107747444664317,0.283444268142528,0.2953988385127383,0.6774214889136974,0.6650152586976373,0.7524569723892903,0.7091342037400267,0.2987845449678151,0.304752757480007,0.6739158434923221,0.6618965733256282,0.7478771034376187,0.7042869870073879,0.3288117300445164,0.3216637569681259,0.6690693073803071,0.658848549986766,0.7404992167145615,0.6984836888723047,0.3504717327092823,0.3522145298781836,0.6644295029765174,0.6538871115010675
8,8,0.5504096808777572,0.5506341813225666,0.5505327590729716,0.6727944581308881,0.5454410313875773,0.5455443497798763,0.5454410313875773,0.5474699040808413,0.5455671320057482,0.547642481580328,0.4996592075549168,0.5505140400100367,0.7465699919021875,0.6881202952850202,0.2791920293574215,0.3146649957800131,0.6538604895184652,0.6734975136294169,0.7503133482743675,0.6921321768288511,0.2853879393918657,0.3183046060585324,0.6560349517552864,0.6726130272132119,0.7490865011747531,0.692264193982527,0.301125581673852,0.3274758633864824,0.6535433489586898,0.671025328474646,0.7448804574693765,0.6889611846757453,0.3382572024909327,0.3455913256461142,0.6511506449736537,0.6683974315107553,0.7389241314811014,0.6832882250963755,0.3669239575492142,0.3794777053536805,0.6477701504368256,0.6637418594174137
0,0,0.4555123842745797,0.4555123842745797,0.4555123842745797,0.8495847491717697,0.4555123842745797,0.4555123842745797,0.4555123842745797,0.4555123842745797,0.4555123842745797,0.4555123842745797,0.5,0.4555123842745797,0.8305069585280238,0.8155701793914208,0.1825215226298908,0.1871588366924064,0.8097698788706651,0.8495788609730794,0.8248925906521257,0.8051590052400772,0.1743447612497289,0.183685541539408,0.786502911792224,0.8457469126803041,0.8202364719952538,0.7971434138061707,0.1699848539397631,0.1813596277737825,0.7696538554376349,0.8417684100796669,0.8134038008575282,0.7867532328307978,0.1652567594477573,0.1790400592816316,0.7588771397606494,0.8355297855955753,0.7987852586950788,0.7710917750672394,0.1607299284266057,0.1755980280438717,0.7493616708658037,0.8206637562582143
